pid,time,event
56,0.00267318605520226,PLAYER_LOGIN
91,0.0052398320864653,PLAYER_LOGIN
11,0.00559819398516995,PLAYER_LOGIN
90,0.00584033040321363,PLAYER_LOGIN
43,0.00715335548612518,PLAYER_LOGIN
84,0.00721566525770175,PLAYER_LOGIN
41,0.00739000347869321,PLAYER_LOGIN
84,0.0144471500947157,PLAYER_LOGOUT
111,0.0170076620033883,PLAYER_LOGIN
111,0.0181067999170279,PLAYER_LOGOUT
22,0.0187507213647454,PLAYER_LOGIN
114,0.018857584237242,PLAYER_LOGIN
114,0.0215067180749186,PLAYER_LOGOUT
22,0.0283457804904231,PLAYER_LOGOUT
55,0.0293926169377653,PLAYER_LOGIN
55,0.0297708340227495,PLAYER_LOGOUT
54,0.030586672327278,PLAYER_LOGIN
39,0.0320491762922619,PLAYER_LOGIN
53,0.0334051402333065,PLAYER_LOGIN
8,0.0425966386622447,PLAYER_LOGIN
84,0.0436026347670769,PLAYER_LOGIN
101,0.0459229473490501,PLAYER_LOGIN
101,0.0463928534243336,PLAYER_LOGOUT
13,0.0475943343306663,PLAYER_LOGIN
57,0.0481753003096925,PLAYER_LOGIN
22,0.0483094438852887,PLAYER_LOGIN
85,0.0484950818057888,PLAYER_LOGIN
55,0.0485686912768741,PLAYER_LOGIN
10,0.0490108323762219,PLAYER_LOGIN
10,0.0512554369714868,PLAYER_LOGIN
10,0.0512599568512903,PLAYER_LOGOUT
10,0.0512998286481282,PLAYER_LOGOUT
41,0.0529077758882169,PLAYER_LOGOUT
37,0.0547139521425441,PLAYER_LOGIN
35,0.0549815935966217,PLAYER_LOGIN
75,0.0553814415349512,PLAYER_LOGIN
103,0.0590953299149052,PLAYER_LOGIN
66,0.0592943660505371,PLAYER_LOGIN
57,0.060974954216039,PLAYER_LOGOUT
94,0.0634518483483471,PLAYER_LOGIN
58,0.0635172251812189,PLAYER_LOGIN
31,0.0641787418753143,PLAYER_LOGIN
31,0.0645760070251846,PLAYER_LOGOUT
36,0.0722137967716758,PLAYER_LOGIN
94,0.0725277669937392,PLAYER_LOGOUT
30,0.0738709784167668,PLAYER_LOGIN
67,0.0739484620705408,PLAYER_LOGIN
82,0.074209969402028,PLAYER_LOGIN
48,0.0755078206027421,PLAYER_LOGIN
109,0.0755949897132378,PLAYER_LOGIN
77,0.0757967700616076,PLAYER_LOGIN
103,0.0758109753981328,PLAYER_LOGOUT
8,0.0759444732766142,PLAYER_LOGOUT
8,0.0759533516119425,PLAYER_LOGIN
94,0.0774158555769263,PLAYER_LOGIN
10,0.0783456594222141,PLAYER_LOGIN
77,0.0812606590469026,PLAYER_LOGOUT
40,0.0850935171202554,PLAYER_LOGIN
39,0.0862520591684551,PLAYER_LOGOUT
97,0.0879245761200222,PLAYER_LOGIN
88,0.0887731835531259,PLAYER_LOGIN
88,0.0888446945085882,PLAYER_LOGOUT
82,0.0896821636664619,PLAYER_LOGOUT
55,0.0897807939007451,PLAYER_LOGOUT
102,0.0903059070793425,PLAYER_LOGIN
53,0.0903433575119999,PLAYER_LOGOUT
7,0.0910239222709813,PLAYER_LOGIN
94,0.0915787375168587,PLAYER_LOGOUT
94,0.0975809764716043,PLAYER_LOGIN
37,0.0981141608641364,PLAYER_LOGOUT
39,0.0999295383023493,PLAYER_LOGIN
102,0.100903088127164,PLAYER_LOGOUT
5,0.101164595458651,PLAYER_LOGIN
5,0.101527638661438,PLAYER_LOGOUT
48,0.10176008962276,PLAYER_LOGOUT
48,0.101765093775399,PLAYER_LOGIN
92,0.101949117453112,PLAYER_LOGIN
48,0.102082131058758,PLAYER_LOGOUT
5,0.10282080855807,PLAYER_LOGIN
82,0.103624701465975,PLAYER_LOGIN
43,0.104256193244233,PLAYER_LOGOUT
49,0.104264587306725,PLAYER_LOGIN
49,0.104920938423902,PLAYER_LOGOUT
54,0.105235877191637,PLAYER_LOGOUT
111,0.105391813044857,PLAYER_LOGIN
3,0.105676888321034,PLAYER_LOGIN
65,0.114704863955654,PLAYER_LOGIN
1,0.115189136791741,PLAYER_LOGIN
108,0.11668069712689,PLAYER_LOGIN
5,0.116756727962156,PLAYER_LOGOUT
42,0.117000317198708,PLAYER_LOGIN
31,0.117310251813804,PLAYER_LOGIN
11,0.11756691641693,PLAYER_LOGOUT
